experiment,pioreactor_unit,timestamp,temperature_c,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-19T10:59:53.408Z,30.01,2025-09-19 12:59:53.408,11.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T11:03:13.408Z,29.9,2025-09-19 13:03:13.408,11.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T11:06:33.407Z,30.04,2025-09-19 13:06:33.407,11.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T11:09:53.409Z,29.93,2025-09-19 13:09:53.409,11.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T11:13:13.409Z,29.92,2025-09-19 13:13:13.409,11.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T11:16:33.409Z,29.92,2025-09-19 13:16:33.409,11.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T11:19:53.408Z,30.01,2025-09-19 13:19:53.408,12.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T11:23:13.406Z,30.15,2025-09-19 13:23:13.406,12.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T11:26:33.405Z,30.13,2025-09-19 13:26:33.405,12.1225
Long Yeast Grow,pioreactor02,2025-09-19T11:29:53.409Z,30.03,2025-09-19 13:29:53.409,12.178055555556
Long Yeast Grow,pioreactor02,2025-09-19T11:33:13.409Z,29.98,2025-09-19 13:33:13.409,12.233611111111
Long Yeast Grow,pioreactor02,2025-09-19T11:36:33.408Z,30.05,2025-09-19 13:36:33.408,12.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T11:39:53.409Z,29.94,2025-09-19 13:39:53.409,12.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T11:43:13.408Z,30.07,2025-09-19 13:43:13.408,12.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T11:46:33.409Z,29.96,2025-09-19 13:46:33.409,12.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T11:49:53.408Z,29.99,2025-09-19 13:49:53.408,12.511388888889
